"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BOM";"CUI_PURCHASE_URL";"DESCRIPTION";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"SPICEPREFIX";"TP_SIGNAL_NAME";"URL";"VALUE";"VENDOR";
"J16";"BRKOUT_JB";"FEMALE_HEADER-2X6";"FEMALE_HEADER-2X6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J17";"BRKOUT_JF";"FEMALE_HEADER-2X6";"FEMALE_HEADER-2X6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J18";"5V0_CONN";"CONN_03X2FEMALE";"2X3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-11566";"";"";"";"FEMALE 2x3";"";
"J19";"3V3_CONN";"CONN_03X2FEMALE";"2X3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-11566";"";"";"";"FEMALE 2x3";"";
"J20";"1V8_CONN";"CONN_03X2FEMALE";"2X3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-11566";"";"";"";"FEMALE 2x3";"";
"J21";"BRKOUT_JD";"FEMALE_HEADER-2X6";"FEMALE_HEADER-2X6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J22";"ZYBO_Power";"CONN_02LOCK";"1X02_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"IHLP-3232DZ_IHLP3232DZER4R7M11";"IHLP-3232DZ_IHLP3232DZER4R7M11";"IHLP-3232DZ_IND_IHLP-3232DZ";"";"";"";"";"";"IHLP3232DZER4R7M11";"";"";"";"";"";"";"";"";"";"";"";"";"";"VISHAY";
"L2";"4.7uH";"LTF5022T";"IND_5022";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L3";"2.2uH";"NLCV32T-2R2M-PFR";"IND_NLCV32TR";"";"";"";"";"";"NLCV32T2R2MPFR";"";"";"";"";"";"";"";"";"";"";"";"";"";"TDK";
"L4";"15uH";"IFSC-1515A_IFSC1515AHER150M01";"IFSC-1515A_IND_IFSC_1515AH";"";"";"";"";"";"IFSC1515AHER150M01";"";"";"";"";"";"";"";"";"";"";"";"";"";"VISHAY";
"R1";"";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";"";
"R2";"";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";"";
"R3";"";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";"";
"R4";"30";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";"";
"R5";"30.9k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";"";
"R6";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";"";
"R7";"30";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";"";
"R8";"12.4k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";"";
"R9";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";"";
"R10";"1000k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";"";
"R11";"255k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";"";
"R12";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";"";
"R13";"470";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";"";
"R14";"4.7k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R15";"4.7k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R16";"10k";"SMD_0805";"0805";"";"";"DNU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R17";"10k";"SMD_0805";"0805";"";"";"DNU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R18";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R19";"10k";"SMD_0805";"0805";"";"";"DNU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R20";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R21";"10k";"SMD_0805";"0805";"";"";"DNU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R22";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R23";"10k";"SMD_0805";"0805";"";"";"DNU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R24";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R25";"10k";"SMD_0805";"0805";"";"";"DNU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R26";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R27";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R28";"10k";"SMD_0805";"0805";"";"";"DNU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R29";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R30";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R31";"10k";"SMD_0805";"0805";"";"";"DNU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R32";"10k";"SMD_0805";"0805";"";"";"DNU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R33";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R34";"10k";"SMD_0805";"0805";"";"";"DNU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R35";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R36";"10k";"SMD_0805";"0805";"";"";"DNU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R37";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R38";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R39";"470";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R40";"470";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R41";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R42";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R43";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R44";"33k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R45";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R46";"220";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R47";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R48";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R49";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R50";"91k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R51";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R52";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R53";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R54";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R55";"160k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R56";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R57";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R58";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R59";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R60";"50k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R61";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R62";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R63";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R64";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R65";"50k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R66";"100k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R67";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R68";"10k";"SMD_0805";"0805";"";"";"DNU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R69";"10k";"SMD_0805";"0805";"";"";"DNU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R70";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R71";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R72";"10k";"SMD_0805";"0805";"";"";"DNU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R73";"10k";"SMD_0805";"0805";"";"";"DNU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R74";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R75";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R76";"10k";"SMD_0805";"0805";"";"";"DNU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R77";"10k";"SMD_0805";"0805";"";"";"DNU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R78";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R79";"18k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R80";"1.8k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R81";"18k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R82";"2k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R83";"1.8k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R84";"18k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R85";"10k";"SMD_0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"TPS54531DDARDDA8_3P1X2P4-L";"TPS54531DDARDDA8_3P1X2P4-L";"DDA8_3P1X2P4-L";"";"";"";"";"";"TPS54531DDAR";"";"";"";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";
"U3";"TPS56339";"TPS56339";"TSOT23-6_DDC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U4";"TPS56339";"TPS56339";"TSOT23-6_DDC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U5";"LM43601PWPR";"LM43601PWPR";"PWP16";"";"";"";"";"";"LM43601PWPR";"";"";"";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";
"U6";"X9258_A";"X9258_SOIC";"SOIC127P1030X250-25T200X300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"X9258";"";
"U7";"X925_B";"X9258_SOIC";"SOIC127P1030X250-25T200X300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"X9258";"";
"U8";"X9258_C";"X9258_SOIC";"SOIC127P1030X250-25T200X300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"X9258";"";
"U9";"X9258_D";"X9258_SOIC";"SOIC127P1030X250-25T200X300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"X9258";"";
"U10";"CD74HCT4051";"CD74HCT4051";"SOIC127P600X144-16";"TI 8x1 analog multiplexer/demultiplexer.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CD74HCT4051";"";
"U11";"CD74HCT4051";"CD74HCT4051";"SOIC127P600X144-16";"TI 8x1 analog multiplexer/demultiplexer.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CD74HCT4051";"";
"U12";"OPA4197";"OPA4197_SOIC14";"SOIC127P600X144-14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"OPA4197";"";
"U13";"OPA4197";"OPA4197_SOIC14";"SOIC127P600X144-14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"OPA4197";"";
"U14";"OPA4197";"OPA4197_SOIC14";"SOIC127P600X144-14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"OPA4197";"";
"U15";"OPA4197";"OPA4197_SOIC14";"SOIC127P600X144-14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"OPA4197";"";
"U16";"OPA4197";"OPA4197_SOIC14";"SOIC127P600X144-14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"OPA4197";"";
"U17";"CD74HCT4053";"CD74HCT4053_SOIC16";"SOIC127P600X144-16";"TI 3 2x1 analog multiplexer/demultiplexer.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CD74HCT4053";"";
"U18";"CD74HCT4051";"CD74HCT4051";"SOIC127P600X144-16";"TI 8x1 analog multiplexer/demultiplexer.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CD74HCT4051";"";
"U19";"OPA2197";"OPA2197";"SO08";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
